1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,,
Ingredient name,INCI Name,Aliases with ;,Allergen Potential,Risk of irritation,Role in formulation,Note,Source,Comedogenic Rating,Concentration rinse-off,Concentration Leave-on,Concentration Sensitive/eye area,Side effects,Works well with,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Teen,20s,30s,40s,50s,60+,Vegetarian,Vegan,Gluten-free,Paleo,Unscented,Paraben-free,Sulphate-free,Silicon-free,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Seafood-free,Dairy-free,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description,Moisturizing,Nourishing,Exfoliating,Soothing,UV-barrier,Healing,Smoothing,Brightening,Minimizes pores,Firming,Concentrations,Effective at low concentrations,Score coefficient for concentration,,Tag
"1, 2-Hexanediol 1","1,2-Hexanediol","1, 2-Hexanediol 1; Hexylene glycol; Hexane-1,2-diol; Hexanediol-1,2; Diol-1,2-Hexane; 1,2-Hexanediol; 1, 2-Hexanediol",Low Risk,Low Risk,"Preservative, Humectant, Emollient",Not a paraben. Not likely to cause irritation and acne.,,1,1-10%,0.5–3%,0.5–1%,,,0,0.2,0.2,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,0,0,0,0,0,0,0,0,0,1 - 5%,,1.0,,
3-O-Ethyl Ascorbic Acid,3-O-Ethyl Ascorbic Acid,3-O-Ethyl Ascorbic Acid; Ethyl Ascorbic Acid; Vitamin C Ethyl Ether; Ascorbyl Ethyl Ether; Ascorbic Acid Ethyl Ether,Moderate Risk,Moderate Risk,"Active, Antioxidant","Antioxidant, brightening. Risk of irritation for sensitive skin",,1,0.3-20%,0.3-20%,0.3-2%,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,1,"Inhibits tyrosinase activity, reducing melanin production. This leads to a decrease in dark spots and a more even skin tone.",0.2,,0.2,,0.2,"This stable form of Vitamin C helps to brighten the skin and reduce excess oil production. It can help balance oily skin while providing antioxidant protection, reducing shine, and preventing clogged pores.",1,"This stable form of Vitamin C penetrates the skin to stimulate collagen production, helping to reduce the appearance of fine lines and wrinkles. It also provides antioxidant protection, preventing further skin aging by neutralizing free radicals.",1,"This stable form of Vitamin C promotes collagen production, improving skin firmness and elasticity. It also provides antioxidant protection against environmental damage.",1,"This stable form of Vitamin C brightens the skin and promotes collagen production, which helps to smooth out uneven skin texture and minimize the appearance of pores. It also reduces hyperpigmentation, contributing to a more even complexion.",0.2,,1,"This stable form of Vitamin C helps to brighten the skin by inhibiting melanin production and promoting collagen synthesis. It effectively reduces dullness, giving the skin a more radiant and even tone.",1,,1,This stable form of Vitamin C brightens the skin and reduces the appearance of blemishes by promoting collagen production and inhibiting melanin production. It also has antioxidant properties that help heal and prevent future blemishes.,0,0,0,0,0,0,0,1,0,0.2,1 - 5%,Yes,1.0,,
sh-Polypeptide-1,sh-Polypeptide-1,sh-Polypeptide-1; Small Polypeptide-1; Short Polypeptide-1,Low risk,Low,Active,Peptide - skin repair and hydration,,0,0.1-2%,0.001%,0.001%,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,1,This polypeptide is involved in skin regeneration and can help reduce fine lines by promoting collagen and elastin production.,1,"By stimulating the production of structural proteins, sh-polypeptide-1 helps maintain skin elasticity and firmness.",0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,0,1,1,0,0.2,1,0.5 - 2%,Yes,1.0,,
Apple cider vinegar,Apple Cider Vinegar,Apple cider vinegar; ACV; Apple vinegar; Cider vinegar; Organic apple cider vinegar; Organic ACV; Organic Apple vinegar; Organic Cider vinegar,Moderate Risk,Moderate Risk,"pH Adjuster, Active","Antibacterial, antifungal, and exfoliating, Reduces the appearance of dark spots",,0,33%,2-5%,,,,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,-1,,0.2,,0.2,"Apple cider vinegar has natural astringent properties that help balance the skin's pH, reduce excess oil, and kill acne-causing bacteria. However, it can be harsh if used undiluted and might cause irritation, so it should be used with caution on acne-prone skin.",-0.2,,0.2,,0,,0.2,,1,"Apple cider vinegar acts as a natural astringent, helping to tighten pores and balance the skin's pH levels. It exfoliates the skin, removing dead cells that can contribute to uneven texture, and helps to clarify the skin, leaving it smoother and more refined. However, it should be used diluted to avoid potential irritation.",1,"Apple cider vinegar acts as a natural astringent that helps to tighten pores and balance the skin's pH levels. It exfoliates the skin, removing dead cells that can contribute to clogged pores and blackheads. However, it should be diluted to avoid potential irritation.",1,"Apple cider vinegar is known for its exfoliating properties. It helps to remove dead skin cells, revealing fresher, more radiant skin underneath. It also balances the skin’s pH, contributing to a brighter complexion. However, it should be diluted to prevent irritation.",0.2,,0.2,,0,0,0.2,0,0,0,0,1,0.2,0,1 - 10%,Moderately effective,0.5,,
Acetyl Hexapeptide-8,Acetyl Hexapeptide-8,Acetyl Hexapeptide-8; Argireline; Argireline; Acetyl Hexapeptide-8; Acetyl Hexapeptide; Acetyl Hexapeptide Solution,Low risk,Low risk,Active,"Neurotransmitter Peptide - can have a Botox-like effect, reducing the appearance of fine lines",,0,3-10%,3-10%,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,1,,1,,0.2,,0,,0,,0.2,,0.2,,0,0,0,0,0,0,0.2,0,0,0,1-3%,Yes,,,
Yarrow flowers,Achillea Millefolium Extract,Yarrow flowers; Achillea Millefolium Flower; Milfoil; Yarrow Extract; Yarrow Flower Extract,Moderate Risk,Moderate Risk,"Active, Antioxidant, Fragrance","Antioxidant, drying",,1,0.1-0.5%,0.1-0.5%,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,-1,,0.2,,0.2,,0.2,,0.2,,0,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,1,0,0.2,0,0.2,0.2,0,0.5 - 2%,,1.0,,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Carbomer; Acrylate Crosspolymer; Acrylate Copolymer; Alkyl Acrylate Crosspolymer; Acrylates; Stearyl Methacrylate Copolymer; Acrylates/Stearyl Methacrylate Copolymer,Moderate Risk,Moderate Risk,"Thickener, Texture Enhancer, Emulsifier, Occlusive",Chemical thickener. Risk of irritation for sensitive skin,,1,30%,30%,,,,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0.5 - 2%,,1.0,,
Organic Baobab Oil,Adansonia Digitata Seed Oil,Organic Baobab Oil; Organic Adansonia Digitata Oil; Organic Baobab Seed Oil; Organic Baobab Fruit Oil; Organic Baobab Seed Oil; Adansonia Digitata Seed Oil; Baobab Oil; Adansonia Digitata Oil; Baobab Seed Oil; Baobab Fruit Oil; Baobab Seed Oil; Adansonia Digitata Seed Oil; Adansonia Digitata (Baobab) Oil,Low Risk,Low Risk,"Emollient, Antioxidant","Skin barrier protection, Moisturizing, Soothing",,2,0.01-3%,0.1–0.25%,,,,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,"Baobab oil is rich in vitamins A, D, E, and F, which help to moisturize and improve skin elasticity. Its antioxidant properties protect the skin from environmental stressors, reducing the appearance of fine lines and wrinkles while nourishing and rejuvenating the skin.",0.2,"Rich in fatty acids and vitamins, it nourishes the skin and supports collagen production, helping to restore elasticity and firmness.",0.2,,0.2,,0.2,,0.2,,0.2,,0.2,1,0,0,0,0.2,0,0.2,0,0.2,1 - 5%,Yes,1.0,,
Adenosine,Adenosine,Adenosine; Adenin riboside; Adenyl riboside; Adenosine monohydrate; Riboside; Adenosine Trihydrate,Low Risk,Low Risk,Active,"Reduces inflammation, anti-aging, reduces wrinkles",,0,0.1-0.5%,0.1-0.5%,,,,0.2,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0.2,,0.2,,0.2,,0,,1,"Adenosine is a natural compound that helps to energize the skin and improve the appearance of fine lines and wrinkles. It promotes smoother, more youthful-looking skin by stimulating collagen production and enhancing skin elasticity. Adenosine also aids in skin repair, making it a powerful anti-aging ingredient.",1,,0.2,,0.2,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1 - 0.4%,Yes,1.0,,
