1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Ingredient name,Aliases,INCI Name,Active/Inactive,Allergen Potential,Single/Compound,Components,Risk of irritation,Role in formulation,Note,Comedogenic Rating,Normal,Dry,Oily,Combination,Not sensitive,A little sensitive,Moderately sensitive,Sensitive,Very sensitive,Extremely sensitive,Not acne prone,A little acne-prone,Moderately acne-prone,Acne-prone,Very acne-prone,Extremely acne-prone,Teen,20s,30s,40s,50s,60+,Vegetarian,Vegan,Gluten-free,Paleo,Nut-free,Soy-free,Latex-free,Sesame-free,Citrus-free,Dye-free,Fragrance-free,Scent-free,Rosacea,Description,Hyperpigmentation & Uneven skin tone,Description,Acne,Description,Dryness/Dehydration,Description,Oiliness & Shine,Description,Fine lines & Wrinkles,Description,Loss of Elasticity/firmness,Description,Visible pores & Uneven texture,Description,"Clogged pores, blackheads",Description,Dullness,Description,Dark circles,Description,Blemishes,Description,Moisturizing,Nourishing,Hydrating,Exfoliating,Calming,Soothing,UV-barrier,Healing,Smoothing,Reduces acne,Reduces blemishes,Reduces wrinkles,Improves symptoms of eczema,Improves symptoms of psoriasis,Improves symptoms of dermatitis,Brightening,Improves skin tone,Reduces inflammation,Minimizes pores,Anti-aging,Firming,Detoxifying,Balancing,Reduces redness,Clarifying,Anti-bacterial,Stimulates collagen production,Reduces fine lines,Antioxidant Protection,Skin Barrier Protection,Concentrations,Effective at low concentrations
"1, 2-Hexanediol 1","Hexylene glycol, Hexane-1,2-diol, Hexanediol-1,2, Diol-1,2-Hexane, 1,2-Hexanediol, 1, 2-Hexanediol","1,2-Hexanediol",Inactive,Low Risk,Single,0,Low Risk,"Preservative, Humectant, Emollient",Not a paraben. Not likely to cause irritation and acne.,1,0,0,0,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.2,,0,,0,,0,,0,,0.2,,0,,0,,0,,0,,0,,0,,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,1 - 5%,
3-O-Ethyl Ascorbic Acid,"Ethyl Ascorbic Acid, Vitamin C Ethyl Ether, Ascorbyl Ethyl Ether, Ascorbic Acid Ethyl Ether",3-O-Ethyl Ascorbic Acid,Active,Moderate Risk,Single,0,Moderate Risk,"Active, Antioxidant","Antioxidant, brightening. Risk of irritation for sensitive skin",1,0.2,0,1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0.2,,0.2,,-0.2,,0.2,"This stable form of Vitamin C helps to brighten the skin and reduce excess oil production. It can help balance oily skin while providing antioxidant protection, reducing shine, and preventing clogged pores.",1,"This stable form of Vitamin C penetrates the skin to stimulate collagen production, helping to reduce the appearance of fine lines and wrinkles. It also provides antioxidant protection, preventing further skin aging by neutralizing free radicals.",1,"This stable form of Vitamin C promotes collagen production, improving skin firmness and elasticity. It also provides antioxidant protection against environmental damage.",1,"This stable form of Vitamin C brightens the skin and promotes collagen production, which helps to smooth out uneven skin texture and minimize the appearance of pores. It also reduces hyperpigmentation, contributing to a more even complexion.",0.2,,1,"This stable form of Vitamin C helps to brighten the skin by inhibiting melanin production and promoting collagen synthesis. It effectively reduces dullness, giving the skin a more radiant and even tone.",-1,,0.2,This stable form of Vitamin C brightens the skin and reduces the appearance of blemishes by promoting collagen production and inhibiting melanin production. It also has antioxidant properties that help heal and prevent future blemishes.,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,0,0,1,0.2,0,1,0,1,0,0,0,0,0,0,1,0,0,1 - 5%,Yes
Apple cider vinegar,"ACV, Apple vinegar, Cider vinegar",Acetum (Apple Cider Vinegar),Active,Potential Risk,Compound,"Acetic Acid, Water, Minerals",Moderate Risk,"pH Adjuster, Active","Antibacterial, antifungal, and exfoliating, Reduces the appearance of dark spots",0,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-1,,0.2,,0.2,"Apple cider vinegar has natural astringent properties that help balance the skin's pH, reduce excess oil, and kill acne-causing bacteria. However, it can be harsh if used undiluted and might cause irritation, so it should be used with caution on acne-prone skin.",-0.2,,0.2,,0,,0.2,,1,"Apple cider vinegar acts as a natural astringent, helping to tighten pores and balance the skin's pH levels. It exfoliates the skin, removing dead cells that can contribute to uneven texture, and helps to clarify the skin, leaving it smoother and more refined. However, it should be used diluted to avoid potential irritation.",1,"Apple cider vinegar acts as a natural astringent that helps to tighten pores and balance the skin's pH levels. It exfoliates the skin, removing dead cells that can contribute to clogged pores and blackheads. However, it should be diluted to avoid potential irritation.",1,"Apple cider vinegar is known for its exfoliating properties. It helps to remove dead skin cells, revealing fresher, more radiant skin underneath. It also balances the skin’s pH, contributing to a brighter complexion. However, it should be diluted to prevent irritation.",-1,,0.2,,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,1,0.2,0,1,0,0.2,0,0,0,0,0,0,0,0,0,1 - 10%,Moderately effective
Organic apple cider vinegar,"Organic ACV, Organic Apple vinegar, Organic Cider vinegar",Organic Acetum (Apple Cider Vinegar),Active,Potential Risk,Compound,"Acetic Acid, Water, Minerals",Moderate Risk,"pH Adjuster, Active","Antibacterial, antifungal, and exfoliating, Reduces the appearance of dark spots",#N/A,0.2,-0.2,0.2,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-1,,0.2,,0.2,"Organic apple cider vinegar helps balance the skin's pH and reduce oiliness. Its antibacterial properties can help in treating acne, but it should be diluted to prevent irritation.",-0.2,,0.2,,0,,0.2,,1,"Apple cider vinegar acts as a natural astringent, helping to tighten pores and balance the skin's pH levels. It exfoliates the skin, removing dead cells that can contribute to uneven texture, and helps to clarify the skin, leaving it smoother and more refined. However, it should be used diluted to avoid potential irritation.",1,"Apple cider vinegar acts as a natural astringent that helps to tighten pores and balance the skin's pH levels. It exfoliates the skin, removing dead cells that can contribute to clogged pores and blackheads. However, it should be diluted to avoid potential irritation.",1,"Apple cider vinegar is known for its exfoliating properties. It helps to remove dead skin cells, revealing fresher, more radiant skin underneath. It also balances the skin’s pH, contributing to a brighter complexion. However, it should be diluted to prevent irritation.",-1,,0.2,,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,1,0.2,0,1,0,0.2,0,0,0,0,0,0,0,0,0,1 - 5%,Moderately effective
Argireline,"Acetyl Hexapeptide-8, Acetyl Hexapeptide, Acetyl Hexapeptide Solution",Acetyl Hexapeptide-8,Active,Low Risk,Compound,Peptide Chain,Low Risk,Active,Anti-aging,1,0,0.2,0,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,,0,,0,,0.2,,0,,1,"Known as a peptide that acts as a muscle relaxant, Argireline helps to reduce the depth of wrinkles and fine lines, particularly those caused by repetitive facial movements. It’s often referred to as a “natural botox” alternative, targeting expression lines without the need for invasive treatments.",0.2,,0,,0,,0.2,,0.2,,0.2,,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0.2,0,0,0,1,0.2,0,0,0,0,0,0,1,0,0,0.5 - 10%,Yes
Yarrow flowers,"Achillea Millefolium Flower, Milfoil, Yarrow Extract, Yarrow Flower Extract",Achillea Millefolium Extract,Active,Moderate Risk,Compound,"Flavonoids, Tannins, Essential Oils",Moderate Risk,"Active, Antioxidant, Fragrance","Antioxidant, drying",1,0.2,-0.2,-1,0.2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-1,,0.2,,0.2,,-0.2,,-1,,0,,0,,0.2,,0,,0.2,,-1,,0,,0,0,0,0,1,1,0,0.2,0,0.2,0,0,1,0,1,0.2,0.2,1,0.2,0,0,0,0,1,0,0,0,0,0,0,0.5 - 2%,
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Carbomer, Acrylate Crosspolymer, Acrylate Copolymer, Alkyl Acrylate Crosspolymer, Acrylates, Stearyl Methacrylate Copolymer, Acrylates/Stearyl Methacrylate Copolymer",Acrylates/C1-30 Alkyl Acrylate Crosspolymer,Inactive,Moderate Risk,Compound,"Acrylates, C10-30 Alkyl Acrylate",Moderate Risk,"Thickener, Texture Enhancer, Emulsifier, Occlusive",Chemical thickener. Risk of irritation for sensitive skin,1,0,0,0,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-0.2,,-1,,0,,0,,0,,0,,0,,0,,0,,0.2,,-1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5 - 2%,
Organic Baobab Oil,"Organic Adansonia Digitata Oil, Organic Baobab Seed Oil, Organic Baobab Fruit Oil, Organic Baobab Seed Oil, Adansonia Digitata Seed Oil",Organic Adansonia Digitata Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Antioxidant","Skin barrier protection, Moisturizing, Soothing",#N/A,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,"Baobab oil is rich in vitamins A, D, E, and F, which help to moisturize and improve skin elasticity. Its antioxidant properties protect the skin from environmental stressors, reducing the appearance of fine lines and wrinkles while nourishing and rejuvenating the skin.",1,"Rich in fatty acids and vitamins, it nourishes the skin and supports collagen production, helping to restore elasticity and firmness.",0.2,,0,,0.2,,0.2,,0,,0.2,1,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,1,1,0,0,0,0,0,0,0.2,0,0,1 - 5%,Yes
Baobab Oil,"Adansonia Digitata Oil, Baobab Seed Oil, Baobab Fruit Oil, Baobab Seed Oil, Adansonia Digitata Seed Oil, Adansonia Digitata (Baobab) Oil",Adansonia Digitata Seed Oil,Active,Low Risk,Single,0,Low Risk,"Emollient, Antioxidant","Skin barrier protection, Moisturizing, Soothing",2,0.2,0.2,0.2,0.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,"Similar to its organic counterpart, baobab oil deeply nourishes the skin, promotes elasticity, and helps to minimize the appearance of fine lines and wrinkles due to its rich fatty acid content. It supports skin regeneration and provides intense moisture.",1,"Similar to organic baobab oil, it restores elasticity by providing essential nutrients and antioxidants that protect against free radical damage.",0.2,,0,,0.2,,0.2,,0,,0.2,1,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0.2,0.2,0,0.2,1,1,0,0,0,0,0,0,0.2,0,0,1 - 5%,Yes
