Ingredient name,Brand,Product name,Link,Ingredient name_Product name,Price,Product type,Formulation type,Formulated for,Image
Water (Aqua),Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Water (Aqua)_Perfect Facial Hydrating Cream,,,,,
Glycerin,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Glycerin_Perfect Facial Hydrating Cream,,,,,
Aloe Barbadensis Leaf Juice,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Aloe Barbadensis Leaf Juice_Perfect Facial Hydrating Cream,,,,,
Glyceryl Stearate,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Glyceryl Stearate_Perfect Facial Hydrating Cream,,,,,
Simmondsia Chinensis (Jojoba) Seed Oil,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Simmondsia Chinensis (Jojoba) Seed Oil_Perfect Facial Hydrating Cream,,,,,
Sodium Ascorbyl Phosphate,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Sodium Ascorbyl Phosphate_Perfect Facial Hydrating Cream,,,,,
Cetearyl Alcohol,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Cetearyl Alcohol_Perfect Facial Hydrating Cream,,,,,
Rosa Canina Fruit Oil,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Rosa Canina Fruit Oil_Perfect Facial Hydrating Cream,,,,,
Steareth-21,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Steareth-21_Perfect Facial Hydrating Cream,,,,,
Theobroma Cacao (Cocoa) Seed Butter,Aesop,Perfect Facial Hydrating Cream,https://www.amazon.com/Aesop-Perfect-Facial-Hydrating-Cream/dp/B005QAGZBM,Theobroma Cacao (Cocoa) Seed Butter_Perfect Facial Hydrating Cream,,,,,
